,Gender,Marital_Status,Number_of_Dependents,Education,Loan_Status,Annual_Income,Credit_Score,Loan_Amount,Term,Property_Area,Loan_Approval
1397,Female,Yes,3,Not Graduate,Yes,7880.0,3857.0,3111.0,360,Rural,No
1398,Female,Yes,2,Graduate,Yes,4315.0,2627.0,1062.0,360,Urban,No
1399,Male,No,1,Not Graduate,Yes,11831.0,2627.0,496.0,180,Urban,Yes
1400,Male,No,1,Not Graduate,Yes,3368.0,4227.0,1104.0,180,Semiurban,No
1401,Male,No,0,Graduate,No,4365.0,1194.0,221.0,360,Urban,No
1402,Female,Yes,1,Not Graduate,No,9611.0,1207.0,558.0,360,Semiurban,Yes
1403,Female,No,2,Graduate,No,8976.0,3210.0,1273.0,180,Rural,Yes
1404,Female,Yes,2,Not Graduate,Yes,6574.0,3899.0,9991.0,360,Semiurban,Yes
1405,Female,No,0,Graduate,No,10484.0,1058.0,6313.0,360,Semiurban,Yes
1406,Male,No,1,Not Graduate,No,8317.0,2627.0,8070.0,180,Rural,No
1407,Female,No,3,Not Graduate,No,9738.0,3785.0,8129.0,180,Semiurban,Yes
1408,Male,No,3,Graduate,No,5244.0,2129.0,6438.0,180,Semiurban,Yes
1409,Male,No,3,Graduate,No,8428.0,2777.0,6247.0,360,Urban,Yes
1410,Male,Yes,2,Graduate,Yes,7985.0,1579.0,7762.0,180,Rural,Yes
1411,Female,No,0,Not Graduate,Yes,5060.0,2856.0,3315.0,360,Urban,Yes
1412,Female,No,2,Not Graduate,Yes,1786.0,1636.0,9411.0,180,Urban,Yes
1413,Female,Yes,3,Graduate,Yes,8910.0,3674.0,2391.0,360,Rural,No
1414,Male,Yes,1,Not Graduate,Yes,3620.0,2627.0,4157.0,360,Urban,No
1415,Male,Yes,0,Graduate,Yes,6669.0,2142.0,3386.0,360,Rural,Yes
1416,Female,No,0,Graduate,Yes,5185.0,4883.0,6179.0,180,Semiurban,No
1417,Female,No,1,Not Graduate,No,11413.0,1197.0,32.0,180,Urban,No
1418,Male,No,0,Graduate,No,6187.0,1449.0,6026.0,360,Urban,Yes
1419,Male,No,1,Graduate,Yes,10556.0,3310.0,8281.0,180,Urban,No
1420,Male,No,0,Graduate,Yes,8599.0,1202.0,6784.0,360,Rural,Yes
1421,Female,No,3,Not Graduate,Yes,6796.0,974.0,5021.0,180,Semiurban,No
1422,Male,No,0,Graduate,Yes,7907.0,2640.0,5021.0,360,Urban,No
1423,Male,No,3,Graduate,No,3146.0,4794.0,3938.0,180,Rural,No
1424,Male,No,1,Not Graduate,Yes,3402.0,2205.0,6200.0,180,Urban,Yes
1425,Male,No,1,Not Graduate,No,5637.0,610.0,7316.0,360,Urban,No
1426,Female,No,1,Graduate,Yes,7321.0,1171.0,6901.0,180,Semiurban,Yes
1427,Male,Yes,1,Graduate,Yes,2951.0,689.0,9813.0,360,Rural,Yes
1428,Female,Yes,2,Graduate,Yes,6669.0,1874.0,5287.0,180,Urban,Yes
1429,Female,Yes,0,Graduate,No,10564.0,3097.0,8059.0,180,Semiurban,Yes
1430,Male,Yes,0,Graduate,No,4583.0,2941.0,3996.0,360,Urban,Yes
1431,Female,No,0,Not Graduate,No,6669.0,4487.0,8887.0,180,Semiurban,No
1432,Female,No,1,Graduate,Yes,8992.0,1301.0,5283.0,180,Semiurban,No
1433,Female,Yes,3,Graduate,No,4555.0,2627.0,9718.0,360,Rural,No
1434,Male,No,1,Not Graduate,Yes,2240.0,3978.0,4531.0,180,Semiurban,Yes
1435,Female,Yes,3,Not Graduate,No,9484.0,1816.0,5021.0,360,Urban,No
1436,Male,No,1,Graduate,Yes,8902.0,3283.0,651.0,180,Rural,Yes
1437,Female,No,1,Graduate,Yes,6687.0,950.0,4028.0,360,Semiurban,No
1438,Male,No,1,Graduate,No,6086.0,1674.0,9001.0,360,Semiurban,Yes
1439,Male,Yes,0,Graduate,Yes,8823.0,2627.0,3776.0,360,Rural,No
1440,Male,No,0,Graduate,No,7460.0,4982.0,5336.0,360,Urban,No
1441,Female,Yes,3,Not Graduate,No,10320.0,4204.0,7162.0,360,Urban,Yes
1442,Female,No,2,Graduate,No,3300.0,907.0,226.0,180,Urban,Yes
1443,Female,No,2,Graduate,No,9043.0,10.0,6140.0,180,Rural,No
1444,Female,No,0,Graduate,No,8068.0,255.0,8344.0,180,Rural,No
1445,Male,Yes,1,Not Graduate,No,7230.0,4012.0,5021.0,360,Urban,No
1446,Female,No,3,Graduate,No,8055.0,3357.0,3913.0,180,Urban,Yes
1447,Male,No,1,Graduate,Yes,6017.0,2627.0,8806.0,360,Rural,Yes
1448,Male,Yes,1,Graduate,Yes,9854.0,1719.0,3934.0,180,Urban,Yes
1449,Female,Yes,3,Not Graduate,Yes,4606.0,4277.0,9723.0,360,Rural,No
1450,Male,Yes,0,Not Graduate,No,2607.0,4589.0,5021.0,360,Urban,Yes
1451,Male,No,1,Not Graduate,No,8579.0,3145.0,4030.0,360,Rural,Yes
1452,Male,Yes,0,Not Graduate,No,8593.0,4331.0,1000.0,180,Urban,No
1453,Female,Yes,0,Graduate,No,10455.0,4142.0,5833.0,360,Urban,No
1454,Male,Yes,1,Not Graduate,No,1654.0,3333.0,8477.0,360,Urban,No
1455,Female,No,0,Not Graduate,Yes,4007.0,993.0,4269.0,180,Rural,Yes
1456,Male,Yes,0,Graduate,No,2687.0,3228.0,2055.0,360,Urban,Yes
1457,Male,Yes,3,Graduate,Yes,3104.0,3544.0,1578.0,360,Rural,Yes
1458,Female,No,3,Not Graduate,No,9085.0,4729.0,9251.0,360,Semiurban,No
1459,Female,Yes,1,Not Graduate,Yes,6669.0,4703.0,8631.0,180,Urban,No
1460,Female,No,3,Not Graduate,No,8931.0,2752.0,7516.0,360,Rural,Yes
1461,Male,No,3,Graduate,No,2139.0,1755.0,4212.0,360,Semiurban,No
1462,Male,Yes,1,Graduate,Yes,7076.0,3043.0,8772.0,360,Urban,No
1463,Female,Yes,3,Graduate,No,6708.0,4731.0,3481.0,180,Urban,No
1464,Male,Yes,1,Graduate,No,6669.0,534.0,731.0,180,Urban,No
1465,Male,Yes,2,Not Graduate,No,9190.0,1182.0,5055.0,180,Semiurban,No
1466,Male,No,3,Not Graduate,Yes,11371.0,4678.0,2267.0,180,Rural,Yes
1467,Female,Yes,0,Graduate,No,4900.0,4637.0,796.0,360,Urban,Yes
1468,Female,No,2,Not Graduate,Yes,9375.0,2350.0,1469.0,180,Urban,Yes
1469,Female,Yes,0,Not Graduate,No,3416.0,3017.0,3632.0,180,Urban,No
1470,Female,No,2,Graduate,Yes,1868.0,2627.0,7622.0,180,Semiurban,Yes
1471,Female,Yes,3,Graduate,No,2940.0,3563.0,9823.0,180,Urban,Yes
1472,Female,Yes,0,Not Graduate,Yes,8677.0,3041.0,6913.0,180,Semiurban,No
1473,Male,Yes,1,Not Graduate,No,5180.0,2627.0,5021.0,180,Urban,No
1474,Male,Yes,2,Graduate,Yes,6292.0,585.0,4489.0,360,Urban,Yes
1475,Male,Yes,1,Graduate,No,7893.0,507.0,9176.0,360,Semiurban,No
1476,Female,Yes,2,Graduate,No,6836.0,3028.0,2673.0,360,Urban,No
1477,Male,Yes,1,Not Graduate,Yes,7354.0,4412.0,3618.0,180,Rural,No
1478,Male,No,0,Graduate,No,7292.0,1941.0,5021.0,180,Rural,No
1479,Female,No,3,Graduate,No,5119.0,4481.0,4226.0,360,Rural,Yes
1480,Female,No,3,Not Graduate,Yes,10524.0,2703.0,5021.0,360,Rural,Yes
1481,Female,No,3,Graduate,No,2545.0,2819.0,6207.0,180,Rural,Yes
1482,Male,No,1,Graduate,Yes,5980.0,2182.0,4611.0,360,Urban,No
1483,Female,Yes,2,Not Graduate,No,7252.0,3633.0,9901.0,360,Urban,No
1484,Male,No,2,Graduate,No,7247.0,2627.0,1894.0,360,Urban,No
1485,Male,Yes,2,Graduate,Yes,10716.0,2194.0,6808.0,360,Urban,Yes
1486,Male,Yes,3,Not Graduate,Yes,1790.0,3103.0,5096.0,180,Rural,Yes
1487,Male,No,0,Graduate,No,4308.0,2627.0,8898.0,360,Rural,No
1488,Female,Yes,0,Not Graduate,No,11272.0,1462.0,1927.0,180,Urban,No
1489,Female,Yes,2,Not Graduate,Yes,6669.0,1006.0,2447.0,360,Rural,No
1490,Female,No,2,Not Graduate,Yes,3415.0,3500.0,2949.0,360,Rural,No
1491,Male,Yes,0,Not Graduate,Yes,2642.0,1003.0,5567.0,360,Urban,No
1492,Male,Yes,0,Graduate,No,2327.0,1023.0,4421.0,360,Rural,No
1493,Female,No,0,Graduate,Yes,3771.0,1784.0,2784.0,180,Semiurban,Yes
1494,Female,No,2,Graduate,Yes,6224.0,3639.0,7389.0,180,Urban,No
1495,Female,Yes,2,Graduate,Yes,11089.0,4769.0,6196.0,180,Urban,No
1496,Male,Yes,2,Graduate,Yes,5534.0,4820.0,1500.0,180,Semiurban,Yes
1497,Male,Yes,0,Not Graduate,No,3844.0,1239.0,6367.0,360,Urban,No
1498,Female,Yes,3,Not Graduate,No,2850.0,2509.0,7825.0,180,Rural,No
1499,Male,No,1,Graduate,Yes,2397.0,3378.0,3330.0,360,Semiurban,No
1500,Male,Yes,2,Not Graduate,No,4391.0,3671.0,7943.0,180,Rural,No
1501,Female,Yes,2,Not Graduate,Yes,8759.0,1885.0,5021.0,180,Urban,Yes
1502,Female,Yes,1,Not Graduate,Yes,10486.0,3709.0,5423.0,360,Urban,Yes
1503,Female,No,3,Graduate,Yes,7706.0,3000.0,1523.0,360,Semiurban,Yes
1504,Male,Yes,3,Graduate,Yes,6886.0,3034.0,9059.0,180,Rural,Yes
1505,Female,Yes,3,Graduate,Yes,10215.0,2479.0,3826.0,180,Semiurban,No
1506,Female,Yes,0,Not Graduate,No,4528.0,306.0,2758.0,360,Urban,No
1507,Female,Yes,2,Not Graduate,No,6974.0,486.0,6115.0,360,Rural,Yes
1508,Male,No,2,Not Graduate,No,7255.0,4287.0,5021.0,360,Semiurban,No
1509,Female,Yes,2,Not Graduate,No,9807.0,642.0,5021.0,180,Rural,Yes
1510,Female,No,0,Not Graduate,Yes,8975.0,4296.0,9060.0,180,Semiurban,Yes
1511,Male,Yes,3,Graduate,Yes,2307.0,2338.0,6560.0,180,Semiurban,No
1512,Male,Yes,0,Graduate,No,2031.0,517.0,961.0,360,Semiurban,Yes
1513,Female,No,1,Graduate,Yes,1623.0,3146.0,1748.0,180,Urban,Yes
1514,Male,No,3,Graduate,No,1661.0,1612.0,6637.0,180,Urban,No
1515,Male,Yes,1,Graduate,Yes,1894.0,4170.0,1165.0,360,Urban,No
1516,Male,No,0,Not Graduate,Yes,8292.0,2627.0,931.0,180,Semiurban,Yes
1517,Female,No,2,Not Graduate,Yes,6669.0,1154.0,5578.0,180,Semiurban,Yes
1518,Female,Yes,3,Graduate,Yes,1733.0,2772.0,896.0,180,Semiurban,Yes
1519,Male,No,0,Graduate,Yes,10082.0,3095.0,1357.0,360,Rural,No
1520,Male,Yes,1,Graduate,Yes,7175.0,4285.0,819.0,360,Rural,No
1521,Female,No,2,Not Graduate,No,8470.0,567.0,5966.0,180,Semiurban,Yes
1522,Male,No,2,Graduate,Yes,1933.0,4669.0,9474.0,180,Semiurban,No
1523,Male,No,0,Not Graduate,Yes,6073.0,1020.0,5021.0,360,Semiurban,Yes
1524,Male,No,3,Not Graduate,Yes,2225.0,1468.0,4309.0,180,Urban,Yes
1525,Male,Yes,0,Not Graduate,No,1754.0,2061.0,5021.0,360,Urban,Yes
1526,Female,Yes,0,Graduate,No,11006.0,1042.0,7543.0,360,Semiurban,Yes
1527,Female,No,0,Not Graduate,No,9825.0,2108.0,7398.0,180,Semiurban,No
1528,Female,No,2,Not Graduate,No,6669.0,3387.0,830.0,360,Rural,Yes
1529,Female,Yes,0,Graduate,Yes,8755.0,2989.0,7690.0,180,Semiurban,No
1530,Female,Yes,2,Not Graduate,No,9941.0,1593.0,5258.0,360,Urban,No
1531,Male,Yes,2,Graduate,No,11182.0,2152.0,4341.0,180,Urban,Yes
1532,Male,Yes,1,Graduate,Yes,1509.0,4319.0,3145.0,360,Urban,No
1533,Male,Yes,1,Graduate,Yes,7956.0,3625.0,1434.0,360,Urban,Yes
1534,Male,No,0,Graduate,Yes,4489.0,2627.0,5021.0,360,Rural,No
1535,Female,No,0,Graduate,No,8746.0,2611.0,516.0,180,Semiurban,No
1536,Male,Yes,2,Not Graduate,No,6901.0,183.0,6485.0,360,Semiurban,No
1537,Female,Yes,1,Graduate,No,6669.0,2627.0,7732.0,360,Rural,Yes
1538,Male,No,2,Graduate,No,11252.0,3898.0,1055.0,360,Urban,No
1539,Male,No,1,Not Graduate,Yes,6527.0,808.0,3919.0,360,Rural,Yes
1540,Female,Yes,1,Not Graduate,Yes,4662.0,3182.0,1382.0,360,Semiurban,Yes
1541,Female,No,2,Graduate,Yes,10357.0,2627.0,5539.0,180,Rural,Yes
1542,Female,No,2,Graduate,No,2828.0,951.0,267.0,360,Rural,No
1543,Female,Yes,2,Not Graduate,Yes,6669.0,2627.0,4831.0,360,Semiurban,No
1544,Female,No,3,Not Graduate,No,6669.0,2279.0,8024.0,360,Rural,No
1545,Male,Yes,1,Graduate,Yes,5494.0,2627.0,8249.0,180,Urban,Yes
1546,Male,Yes,2,Not Graduate,Yes,6771.0,1139.0,8862.0,360,Rural,Yes
1547,Female,No,0,Not Graduate,Yes,9261.0,701.0,2981.0,180,Rural,No
1548,Male,Yes,3,Not Graduate,No,3142.0,104.0,2415.0,360,Semiurban,Yes
1549,Female,Yes,0,Graduate,Yes,6527.0,1374.0,9842.0,180,Rural,Yes
1550,Male,Yes,2,Not Graduate,No,10108.0,3101.0,5021.0,360,Semiurban,Yes
1551,Female,Yes,1,Graduate,No,9478.0,2627.0,7927.0,360,Urban,Yes
1552,Male,No,0,Not Graduate,Yes,9851.0,4886.0,480.0,180,Semiurban,Yes
1553,Female,Yes,0,Graduate,Yes,6162.0,1278.0,4601.0,180,Urban,Yes
1554,Female,Yes,2,Graduate,No,6707.0,983.0,3480.0,180,Urban,No
1555,Female,Yes,2,Not Graduate,Yes,1609.0,3507.0,8946.0,180,Urban,Yes
1556,Female,No,1,Not Graduate,Yes,8269.0,2627.0,2808.0,360,Urban,No
1557,Male,No,2,Graduate,No,6625.0,2551.0,5252.0,180,Urban,Yes
1558,Female,Yes,3,Not Graduate,Yes,6790.0,3213.0,5021.0,180,Semiurban,Yes
1559,Male,No,2,Not Graduate,No,2429.0,2271.0,5495.0,360,Urban,No
1560,Female,No,1,Not Graduate,No,11318.0,2627.0,5021.0,360,Urban,Yes
1561,Male,No,2,Graduate,No,4162.0,614.0,5857.0,360,Semiurban,No
1562,Female,Yes,0,Not Graduate,Yes,4745.0,4370.0,7591.0,360,Urban,No
1563,Female,Yes,0,Graduate,Yes,3494.0,984.0,8136.0,360,Urban,Yes
1564,Female,No,1,Graduate,Yes,7601.0,817.0,4652.0,180,Semiurban,No
1565,Female,No,1,Graduate,Yes,9009.0,2627.0,5473.0,180,Rural,Yes
1566,Male,No,3,Not Graduate,No,5036.0,3400.0,9395.0,360,Rural,No
1567,Male,No,2,Graduate,Yes,6669.0,1200.0,1727.0,180,Semiurban,No
1568,Female,Yes,1,Graduate,Yes,2597.0,4382.0,3786.0,360,Semiurban,Yes
1569,Male,No,2,Graduate,Yes,3089.0,1163.0,6696.0,180,Rural,No
1570,Female,No,0,Not Graduate,Yes,1801.0,1147.0,1928.0,360,Rural,Yes
1571,Female,No,0,Not Graduate,Yes,5545.0,2043.0,3670.0,360,Semiurban,Yes
1572,Male,Yes,0,Not Graduate,No,6669.0,171.0,3857.0,360,Urban,Yes
1573,Female,Yes,0,Not Graduate,No,8833.0,2627.0,565.0,360,Urban,No
1574,Female,Yes,3,Graduate,Yes,3681.0,2450.0,2619.0,360,Semiurban,Yes
1575,Male,Yes,3,Graduate,No,11779.0,2084.0,5023.0,180,Semiurban,Yes
1576,Female,No,2,Graduate,No,8320.0,1529.0,2985.0,360,Urban,Yes
1577,Female,Yes,3,Not Graduate,No,4058.0,2929.0,5021.0,180,Semiurban,Yes
1578,Male,Yes,1,Not Graduate,Yes,6669.0,2413.0,1463.0,180,Semiurban,Yes
1579,Female,No,1,Graduate,Yes,7901.0,3760.0,9349.0,360,Rural,Yes
1580,Male,No,1,Not Graduate,Yes,4742.0,3322.0,7193.0,180,Rural,No
1581,Male,Yes,2,Not Graduate,No,5286.0,2279.0,9191.0,180,Semiurban,Yes
1582,Female,Yes,0,Not Graduate,No,9702.0,3519.0,2487.0,180,Semiurban,No
1583,Female,Yes,3,Not Graduate,Yes,8595.0,2061.0,2246.0,360,Rural,Yes
1584,Male,Yes,0,Graduate,No,11693.0,4603.0,261.0,180,Urban,Yes
1585,Female,No,3,Not Graduate,Yes,3937.0,3722.0,5555.0,180,Semiurban,No
1586,Male,Yes,1,Graduate,Yes,1558.0,2627.0,6371.0,180,Semiurban,Yes
1587,Male,Yes,1,Not Graduate,No,3664.0,2746.0,5021.0,180,Semiurban,Yes
1588,Female,No,1,Not Graduate,No,5406.0,1863.0,6981.0,180,Urban,Yes
1589,Male,No,0,Not Graduate,No,9167.0,298.0,8817.0,360,Rural,Yes
1590,Male,No,1,Graduate,Yes,7845.0,1172.0,6153.0,360,Urban,No
1591,Male,Yes,2,Not Graduate,Yes,5039.0,1044.0,3873.0,360,Urban,No
1592,Male,No,0,Not Graduate,No,8955.0,403.0,9397.0,360,Rural,No
1593,Male,No,0,Not Graduate,No,11342.0,2627.0,4089.0,360,Semiurban,No
1594,Female,Yes,1,Graduate,No,2871.0,2147.0,3609.0,180,Semiurban,Yes
1595,Female,Yes,3,Graduate,Yes,2250.0,1185.0,3535.0,180,Semiurban,No
1596,Male,No,0,Graduate,No,10385.0,4229.0,8770.0,360,Urban,No
1597,Male,Yes,3,Graduate,No,4624.0,2907.0,4095.0,180,Urban,No
1598,Male,No,2,Graduate,Yes,11206.0,956.0,6276.0,180,Rural,No
1599,Female,No,2,Graduate,Yes,9361.0,2206.0,1038.0,180,Rural,Yes
1600,Male,No,1,Graduate,No,4739.0,2265.0,2866.0,360,Rural,No
1601,Female,No,1,Graduate,Yes,10564.0,753.0,1389.0,180,Rural,No
1602,Male,No,0,Not Graduate,No,6117.0,1924.0,5552.0,360,Urban,No
1603,Male,Yes,1,Not Graduate,No,6669.0,637.0,8538.0,360,Semiurban,Yes
1604,Female,Yes,2,Graduate,Yes,4134.0,3426.0,9480.0,180,Urban,Yes
1605,Male,No,0,Not Graduate,No,1815.0,2627.0,6809.0,360,Semiurban,No
1606,Male,Yes,3,Not Graduate,No,7335.0,4337.0,5021.0,180,Rural,Yes
1607,Male,No,1,Graduate,Yes,5732.0,4900.0,3090.0,360,Semiurban,Yes
1608,Male,Yes,3,Graduate,No,3622.0,3856.0,4075.0,360,Semiurban,Yes
1609,Male,No,2,Not Graduate,Yes,7492.0,723.0,4312.0,360,Semiurban,No
1610,Female,No,3,Graduate,Yes,6698.0,3391.0,4139.0,360,Rural,No
1611,Male,No,2,Not Graduate,Yes,3380.0,2930.0,6406.0,360,Semiurban,No
1612,Male,No,3,Graduate,No,8103.0,2991.0,4805.0,180,Urban,No
1613,Female,Yes,3,Graduate,No,4034.0,1837.0,8487.0,180,Semiurban,Yes
1614,Male,Yes,1,Not Graduate,No,9847.0,738.0,5021.0,180,Rural,No
1615,Female,No,3,Not Graduate,No,8003.0,392.0,5113.0,360,Urban,No
1616,Male,No,3,Not Graduate,Yes,7791.0,2627.0,1705.0,180,Semiurban,Yes
1617,Male,No,3,Graduate,No,5319.0,4409.0,2651.0,180,Semiurban,Yes
1618,Male,No,2,Graduate,No,5228.0,1752.0,7182.0,180,Rural,No
1619,Male,Yes,3,Not Graduate,No,3973.0,215.0,4811.0,360,Semiurban,Yes
1620,Female,Yes,3,Not Graduate,No,3853.0,4804.0,7462.0,360,Urban,No
1621,Male,No,3,Not Graduate,Yes,6669.0,4074.0,3327.0,180,Semiurban,No
1622,Male,No,0,Graduate,No,6669.0,942.0,5021.0,360,Urban,Yes
1623,Male,Yes,3,Not Graduate,Yes,6653.0,2627.0,285.0,360,Rural,No
1624,Male,Yes,0,Not Graduate,No,7063.0,3249.0,9754.0,180,Rural,Yes
1625,Female,No,0,Not Graduate,No,6099.0,6.0,824.0,180,Urban,No
1626,Male,Yes,2,Graduate,No,10816.0,1846.0,2860.0,180,Rural,No
1627,Male,No,3,Not Graduate,Yes,3322.0,3038.0,5021.0,180,Rural,Yes
1628,Female,Yes,0,Not Graduate,Yes,6340.0,1149.0,6416.0,360,Urban,No
1629,Male,No,3,Not Graduate,No,8230.0,1270.0,5013.0,360,Urban,Yes
1630,Female,Yes,0,Not Graduate,No,11912.0,3419.0,4361.0,180,Urban,Yes
1631,Female,No,2,Not Graduate,No,6669.0,4955.0,9842.0,360,Semiurban,Yes
1632,Male,No,2,Graduate,No,11686.0,1112.0,2897.0,180,Rural,Yes
1633,Female,No,3,Graduate,No,8939.0,3618.0,5387.0,180,Rural,No
1634,Male,Yes,1,Graduate,No,3152.0,1684.0,9137.0,180,Semiurban,No
1635,Male,No,2,Graduate,Yes,2128.0,1615.0,4441.0,180,Semiurban,Yes
1636,Female,No,2,Graduate,Yes,2320.0,3466.0,6562.0,180,Semiurban,Yes
1637,Male,No,0,Graduate,No,8605.0,2944.0,4278.0,360,Urban,No
1638,Male,No,3,Not Graduate,Yes,6669.0,3715.0,9443.0,180,Semiurban,Yes
1639,Female,Yes,2,Not Graduate,No,6669.0,2892.0,4900.0,180,Rural,Yes
1640,Female,Yes,2,Graduate,Yes,11803.0,3139.0,988.0,180,Semiurban,No
1641,Female,No,1,Graduate,No,6669.0,4038.0,8098.0,180,Urban,No
1642,Female,No,3,Not Graduate,No,5987.0,2655.0,1446.0,360,Rural,No
1643,Male,No,1,Not Graduate,No,3691.0,315.0,153.0,360,Rural,Yes
1644,Male,No,1,Graduate,Yes,3834.0,4288.0,1668.0,180,Semiurban,Yes
1645,Female,Yes,0,Graduate,Yes,11126.0,736.0,8576.0,180,Semiurban,No
1646,Female,No,2,Not Graduate,Yes,2003.0,2958.0,7870.0,360,Semiurban,Yes
1647,Male,No,3,Not Graduate,No,3974.0,3324.0,8306.0,360,Rural,Yes
1648,Female,No,3,Graduate,Yes,10252.0,972.0,7979.0,360,Semiurban,Yes
1649,Female,Yes,3,Graduate,Yes,10108.0,3596.0,5645.0,360,Urban,No
1650,Female,Yes,2,Not Graduate,Yes,6669.0,2706.0,7062.0,180,Semiurban,Yes
1651,Female,No,0,Graduate,Yes,7804.0,1309.0,8267.0,180,Semiurban,Yes
1652,Male,No,3,Not Graduate,No,8139.0,461.0,3309.0,180,Urban,No
1653,Female,Yes,2,Graduate,No,9644.0,1426.0,5798.0,180,Urban,Yes
1654,Male,No,2,Not Graduate,Yes,3553.0,1488.0,4405.0,360,Semiurban,No
1655,Female,Yes,3,Graduate,No,9842.0,854.0,8565.0,180,Rural,No
1656,Male,No,2,Not Graduate,Yes,5626.0,1947.0,420.0,360,Semiurban,Yes
1657,Female,Yes,0,Not Graduate,Yes,11080.0,953.0,5021.0,180,Semiurban,No
1658,Male,Yes,3,Not Graduate,No,1537.0,1529.0,7175.0,360,Semiurban,Yes
1659,Male,Yes,1,Not Graduate,No,7149.0,2627.0,893.0,360,Urban,No
1660,Female,No,2,Graduate,Yes,6669.0,4032.0,8744.0,180,Rural,Yes
1661,Female,Yes,1,Graduate,No,2948.0,2457.0,5021.0,360,Rural,No
1662,Male,Yes,0,Graduate,Yes,6425.0,3129.0,4829.0,360,Urban,No
1663,Female,Yes,3,Not Graduate,No,6669.0,4127.0,6676.0,180,Rural,No
1664,Female,Yes,1,Not Graduate,No,8078.0,2627.0,698.0,180,Semiurban,Yes
1665,Female,No,3,Not Graduate,Yes,9638.0,1673.0,4715.0,360,Rural,No
1666,Female,No,0,Graduate,No,2502.0,759.0,3424.0,360,Semiurban,Yes
1667,Male,Yes,2,Graduate,No,3718.0,3612.0,1874.0,180,Rural,No
1668,Female,No,3,Graduate,No,2307.0,1028.0,5021.0,360,Urban,No
1669,Male,No,1,Graduate,Yes,3709.0,4466.0,2701.0,360,Urban,No
1670,Female,No,0,Graduate,Yes,6669.0,975.0,4750.0,360,Semiurban,Yes
1671,Female,Yes,1,Graduate,Yes,3852.0,4312.0,5021.0,360,Semiurban,No
1672,Female,No,2,Graduate,No,11232.0,3057.0,4188.0,180,Rural,No
1673,Female,Yes,3,Not Graduate,No,6348.0,2627.0,6427.0,360,Urban,Yes
1674,Male,No,3,Graduate,No,1944.0,2627.0,5021.0,180,Semiurban,No
1675,Female,No,0,Not Graduate,Yes,4592.0,2612.0,5575.0,180,Semiurban,No
1676,Female,No,1,Not Graduate,Yes,2862.0,4704.0,9761.0,180,Rural,Yes
1677,Male,Yes,2,Not Graduate,Yes,10170.0,4805.0,9235.0,360,Urban,Yes
1678,Male,Yes,3,Not Graduate,No,4268.0,503.0,7609.0,360,Rural,No
1679,Female,Yes,2,Not Graduate,No,11610.0,2631.0,8636.0,180,Urban,No
1680,Female,Yes,3,Graduate,Yes,6669.0,1872.0,3322.0,360,Semiurban,Yes
1681,Male,Yes,3,Not Graduate,No,11357.0,4012.0,7079.0,360,Semiurban,No
1682,Male,No,1,Not Graduate,Yes,4812.0,2267.0,1779.0,180,Urban,Yes
1683,Female,No,1,Graduate,Yes,7280.0,4797.0,496.0,180,Semiurban,Yes
1684,Male,Yes,0,Not Graduate,No,4229.0,634.0,6318.0,180,Urban,Yes
1685,Female,No,1,Graduate,Yes,7486.0,3884.0,4368.0,180,Urban,Yes
1686,Male,No,1,Graduate,No,7562.0,932.0,8579.0,180,Urban,Yes
1687,Male,Yes,3,Not Graduate,No,10264.0,2962.0,9906.0,180,Semiurban,Yes
1688,Male,Yes,3,Not Graduate,No,6306.0,3765.0,5021.0,180,Rural,No
1689,Male,No,1,Graduate,No,6032.0,2627.0,6965.0,360,Rural,Yes
1690,Male,No,0,Graduate,Yes,6669.0,4299.0,7766.0,180,Semiurban,Yes
1691,Male,No,3,Graduate,No,8867.0,1607.0,484.0,360,Urban,Yes
1692,Female,Yes,3,Not Graduate,Yes,3913.0,4630.0,1321.0,180,Urban,Yes
1693,Female,Yes,1,Not Graduate,Yes,6669.0,2452.0,5520.0,180,Semiurban,No
1694,Male,Yes,3,Not Graduate,Yes,6669.0,4658.0,7944.0,180,Rural,Yes
1695,Male,Yes,2,Graduate,No,7634.0,1069.0,5021.0,180,Urban,Yes
1696,Female,Yes,1,Not Graduate,Yes,3281.0,2939.0,5021.0,180,Urban,Yes
1697,Male,No,1,Not Graduate,Yes,11238.0,2003.0,4716.0,360,Semiurban,Yes
1698,Male,No,1,Not Graduate,Yes,10272.0,3683.0,4806.0,180,Urban,No
1699,Female,Yes,3,Not Graduate,Yes,10511.0,2198.0,3947.0,360,Rural,No
1700,Female,Yes,1,Graduate,Yes,9144.0,939.0,6535.0,360,Urban,Yes
1701,Male,No,2,Not Graduate,No,3645.0,2682.0,6232.0,360,Urban,Yes
1702,Male,No,1,Not Graduate,Yes,9194.0,2774.0,678.0,360,Rural,Yes
1703,Female,Yes,2,Not Graduate,Yes,6511.0,1031.0,6729.0,180,Rural,No
1704,Female,No,3,Not Graduate,Yes,5244.0,1026.0,5021.0,360,Rural,Yes
1705,Male,Yes,2,Not Graduate,Yes,8412.0,2238.0,5469.0,180,Rural,Yes
1706,Female,Yes,3,Graduate,Yes,5792.0,1871.0,4290.0,180,Rural,Yes
1707,Male,No,0,Graduate,Yes,6669.0,1882.0,5603.0,180,Rural,No
1708,Female,Yes,1,Not Graduate,No,11442.0,3040.0,198.0,360,Rural,No
1709,Female,Yes,0,Not Graduate,Yes,9130.0,2119.0,7866.0,360,Urban,No
